L1,L2 (Defined),L2(Suggested),L3,L2(New),L3(Tagged),L4,Amazon Merged  Entry
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Facial Scrub,"['(Beauty, Skin Care, Face, Facial Scrubs & Polishes)', '(Fashion, Beauty, Skin Care, Face, Facial Scrubs & Polishes)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Facial Tissues & Wipes,"['(Beauty, Skin Care, Face, Facial Tissues & Wipes, Box Tissues)', '(Beauty, Skin Care, Face, Facial Tissues & Wipes, Pocket Tissues)', '(Fashion, Beauty, Skin Care, Face, Facial Tissues & Wipes, Box Tissues)', '(Fashion, Beauty, Skin Care, Face, Facial Tissues & Wipes, Pocket Tissues)']"
Beauty & Personal Care,Makeup,Makeup,Make-up Remover,Skincare,Face Care,Makeup Cleansing Wipes,"['(Fashion, Beauty, Make-up, Make-up Remover, Makeup Cleansing Wipes)']"
Beauty & Personal Care,Skincare,Skincare,Facial Care,Skincare,Face Care,Moisturizer,"['(Health & Personal Care, Skin Care)']['(Beauty, Skin Care, Face, Creams & Moisturisers, Moisturizers)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, Moisturizers)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Serum,"['(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, Serums)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Toner,"['(Beauty, Skin Care, Face, Toners)', '(Fashion, Beauty, Skin Care, Face, Toners)']"
Beauty & Personal Care,Skincare,Skincare,Face,Makeup,Face Makeup,Aftercare,"['(Beauty, Skin Care, Face, Sunscreen & Aftercare, Aftercare)', '(Fashion, Beauty, Skin Care, Face, Sunscreen & Aftercare, Aftercare)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,BB Cream,"['(Beauty, Make-up, Face, BB Creams)', '(Fashion, Beauty, Make-up, Face, BB Creams)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,Blush,"['(Beauty, Make-up, Face, Blushes)', '(Fashion, Beauty, Make-up, Face, Blushes)']"
Beauty & Personal Care,Makeup,Makeup,Face Makeup,Makeup,Face Makeup,Bronzer,"['(Fashion, Beauty, Make-up, Body, Face Bronzers)']['(Beauty, Make-up, Face, Bronzers)', '(Fashion, Beauty, Make-up, Face, Bronzers)']['(Beauty, Hair Care, Hair Styling Tools, Braiders)', '(Fashion, Beauty, Hair Care, Hair Styling Tools, Braiders)']['(Beauty, Make-up, Body, Face Bronzers)', '(Beauty, Make-up, Body, Bronzers)']['(Fashion, Beauty, Make-up, Body, Bronzers)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,CC Cream,"['(Beauty, Make-up, Face, CC Creams)', '(Fashion, Beauty, Make-up, Face, CC Creams)']"
Beauty & Personal Care,Makeup,Makeup,Make-up Remover,Makeup,Face Makeup,Cleansing Cream,"['(Beauty, Make-up, Make-up Remover, Makeup Cleansing Creams)']"
Beauty & Personal Care,Makeup,Makeup,Make-up Remover,Makeup,Face Makeup,Cleansing Oil,"['(Fashion, Beauty, Make-up, Make-up Remover, Makeup Cleansing Oils)']"
Beauty & Personal Care,Makeup,Makeup,Makeup Remover,Makeup,Face Makeup,Cleansing Wipes,"['(Beauty, Make-up, Make-up Remover, Makeup Cleansing Wipes)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,Compact Powder,"['(Beauty, Make-up, Face, Compact Powder)', '(Fashion, Beauty, Make-up, Face, Compact Powder)']"
Beauty & Personal Care,Makeup,Makeup,Eyes,Makeup,Face Makeup,Concealer,"['(Beauty, Make-up, Eyes, Eye Concealer)', '(Fashion, Beauty, Make-up, Eyes, Eye Concealer)']['(Beauty, Make-up, Face, Concealer)', '(Fashion, Beauty, Make-up, Face, Concealer)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,DD Creams,"['(Beauty, Make-up, Face, DD Creams)', '(Fashion, Beauty, Make-up, Face, DD Creams)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,Foundation,"['(Beauty, Make-up, Face, Foundation)', '(Fashion, Beauty, Make-up, Face, Foundation)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,Highlighter,"['(Beauty, Make-up, Face, Highlighters & Illuminators)', '(Fashion, Beauty, Make-up, Face, Highlighters & Illuminators)']"
Beauty & Personal Care,Makeup,Makeup,Makeup Palettes,Makeup,Face Makeup,Palette,"['(Beauty, Make-up, Make-up Palettes)']['(Fashion, Beauty, Make-up, Make-up Palettes)']"
Beauty & Personal Care,Makeup,Makeup,Face,Makeup,Face Makeup,Primers,"['(Beauty, Make-up, Face, Primers)', '(Fashion, Beauty, Make-up, Face, Primers)']"
